# pressure    , temperature , height      , H2O         , CO2         , O3          , N2O         , CO          , CH4         , O2          , NO          , NO2         , HNO         , OH          , CLO         , N2          , HCN         , HO2         , O         
# [Pa]        , [K]         , [m]         , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]    
4.6486300e-04 , 8.63971e+02 , 1.53000e+05 , 2.47000e-08 , 5.88900e-06 , 3.90700e-13 , 2.01800e-11 , 1.30100e-05 , 4.54100e-10 , 3.45800e-02 , 4.04200e-04 , 1.30600e-14 , 6.20200e-18 , 5.07200e-17 , 4.91300e-14 , 5.37900e-01 , 4.50000e-11 , 2.07100e-14 , 4.24600e-01
4.7975400e-04 , 8.53941e+02 , 1.52000e+05 , 2.90400e-08 , 6.16500e-06 , 4.13400e-13 , 2.21100e-11 , 1.40100e-05 , 5.09700e-10 , 3.52600e-02 , 4.04200e-04 , 1.43300e-14 , 9.19300e-18 , 5.91700e-17 , 4.91300e-14 , 5.42200e-01 , 4.50000e-11 , 1.78300e-14 , 4.19700e-01
4.9534700e-04 , 8.43726e+02 , 1.51000e+05 , 3.41000e-08 , 6.46100e-06 , 4.40500e-13 , 2.42000e-11 , 1.50700e-05 , 5.71700e-10 , 3.59700e-02 , 4.04200e-04 , 1.57100e-14 , 1.35900e-17 , 6.91800e-17 , 4.91300e-14 , 5.46500e-01 , 4.50000e-11 , 1.54200e-14 , 4.14700e-01
5.1168700e-04 , 8.33314e+02 , 1.50000e+05 , 3.99700e-08 , 6.77700e-06 , 4.73000e-13 , 2.64800e-11 , 1.61900e-05 , 6.40700e-10 , 3.67000e-02 , 4.04200e-04 , 1.72000e-14 , 2.00100e-17 , 8.10900e-17 , 4.91300e-14 , 5.50800e-01 , 4.50000e-11 , 1.34000e-14 , 4.09600e-01
5.2882900e-04 , 8.22594e+02 , 1.49000e+05 , 4.67700e-08 , 7.11500e-06 , 5.11900e-13 , 2.89600e-11 , 1.73800e-05 , 7.17500e-10 , 3.74700e-02 , 3.99600e-04 , 1.88200e-14 , 2.93400e-17 , 9.52600e-17 , 4.91300e-14 , 5.55100e-01 , 4.50000e-11 , 1.17000e-14 , 4.04500e-01
5.4682800e-04 , 8.11675e+02 , 1.48000e+05 , 5.46200e-08 , 7.47700e-06 , 5.58400e-13 , 3.16400e-11 , 1.86400e-05 , 8.02600e-10 , 3.82600e-02 , 3.94300e-04 , 2.05600e-14 , 4.28400e-17 , 1.12200e-16 , 4.91300e-14 , 5.59500e-01 , 4.50000e-11 , 1.02600e-14 , 3.99300e-01
5.6574600e-04 , 8.00545e+02 , 1.47000e+05 , 6.36600e-08 , 7.86600e-06 , 6.14300e-13 , 3.45300e-11 , 1.99700e-05 , 8.96700e-10 , 3.90900e-02 , 3.88200e-04 , 2.24300e-14 , 6.22400e-17 , 1.32400e-16 , 4.91300e-14 , 5.63900e-01 , 4.50000e-11 , 9.05300e-15 , 3.94100e-01
5.8565000e-04 , 7.89214e+02 , 1.46000e+05 , 7.40200e-08 , 8.28300e-06 , 6.81500e-13 , 3.76600e-11 , 2.13700e-05 , 1.00100e-09 , 3.99500e-02 , 3.81900e-04 , 2.44200e-14 , 8.99400e-17 , 1.56600e-16 , 4.91300e-14 , 5.68300e-01 , 4.50000e-11 , 8.03200e-15 , 3.88800e-01
6.0661300e-04 , 7.77672e+02 , 1.45000e+05 , 8.58500e-08 , 8.73000e-06 , 7.62800e-13 , 4.10200e-11 , 2.28300e-05 , 1.11500e-09 , 4.08600e-02 , 3.75200e-04 , 2.65500e-14 , 1.29200e-16 , 1.85600e-16 , 4.91300e-14 , 5.72700e-01 , 4.50000e-11 , 7.16900e-15 , 3.83400e-01
6.2871900e-04 , 7.65791e+02 , 1.44000e+05 , 9.93000e-08 , 9.21000e-06 , 8.61600e-13 , 4.46400e-11 , 2.43600e-05 , 1.24100e-09 , 4.18000e-02 , 3.67700e-04 , 2.88200e-14 , 1.84400e-16 , 2.20400e-16 , 4.91300e-14 , 5.77200e-01 , 4.50000e-11 , 6.43900e-15 , 3.78000e-01
