# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C       
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2] 
1.81145e+06 , +2.2528e+06 , +2.2044e+06 , +4.8405e+04 , +0.0000e+00 , +5.0833e+01 , -5.0833e+01 , +2.2528e+06 , +2.2045e+06 , +4.8354e+04 , +0.0000e+00 
2.30317e+06 , +2.4099e+06 , +2.3615e+06 , +4.8402e+04 , +0.0000e+00 , +4.8278e+01 , -4.8278e+01 , +2.4099e+06 , +2.3615e+06 , +4.8354e+04 , +0.0000e+00 
2.92837e+06 , +2.5799e+06 , +2.5315e+06 , +4.8400e+04 , +0.0000e+00 , +4.5862e+01 , -4.5862e+01 , +2.5799e+06 , +2.5316e+06 , +4.8354e+04 , +0.0000e+00 
3.72329e+06 , +2.7613e+06 , +2.7129e+06 , +4.8397e+04 , +0.0000e+00 , +4.3598e+01 , -4.3598e+01 , +2.7613e+06 , +2.7129e+06 , +4.8354e+04 , +0.0000e+00 
4.73399e+06 , +2.9543e+06 , +2.9059e+06 , +4.8395e+04 , +0.0000e+00 , +4.1524e+01 , -4.1524e+01 , +2.9543e+06 , +2.9059e+06 , +4.8354e+04 , +0.0000e+00 
6.01905e+06 , +3.1603e+06 , +3.1119e+06 , +4.8393e+04 , +0.0000e+00 , +3.9644e+01 , -3.9644e+01 , +3.1603e+06 , +3.1120e+06 , +4.8354e+04 , +0.0000e+00 
7.65294e+06 , +3.3815e+06 , +3.3331e+06 , +4.8392e+04 , +0.0000e+00 , +3.7973e+01 , -3.7973e+01 , +3.3815e+06 , +3.3331e+06 , +4.8354e+04 , +0.0000e+00 
9.73036e+06 , +3.6222e+06 , +3.5738e+06 , +4.8390e+04 , +0.0000e+00 , +3.6475e+01 , -3.6475e+01 , +3.6222e+06 , +3.5738e+06 , +4.8354e+04 , +0.0000e+00 
1.23717e+07 , +3.8881e+06 , +3.8397e+06 , +4.8389e+04 , +0.0000e+00 , +3.5136e+01 , -3.5136e+01 , +3.8881e+06 , +3.8397e+06 , +4.8354e+04 , +0.0000e+00 
1.80000e+07 , +4.4060e+06 , +4.3576e+06 , +4.8387e+04 , +0.0000e+00 , +3.3311e+01 , -3.3311e+01 , +4.4060e+06 , +4.3577e+06 , +4.8354e+04 , +0.0000e+00 
2.00000e+07 , +4.5967e+06 , +4.5483e+06 , +4.8387e+04 , +0.0000e+00 , +3.2853e+01 , -3.2853e+01 , +4.5967e+06 , +4.5484e+06 , +4.8354e+04 , +0.0000e+00 
